ts_utc,symbol,reason,extra
2025-09-28T06:10:53+00:00,SOLUSDT,main_ema_guard,"dist_pct=-0.0544, slope=-0.0022, neutral_band=0.0058"
2025-09-28T06:10:54+00:00,SOLUSDT,vol_fail,"bbw=0.0049, mult=1.05"
2025-09-28T06:10:54+00:00,BNBUSDT,main_ema_guard,"dist_pct=-0.0083, slope=-0.0003, neutral_band=0.0043"
2025-09-28T06:10:55+00:00,BNBUSDT,vol_fail,"bbw=0.0091, mult=1.05"
2025-09-28T06:11:00+00:00,ETHUSDT,main_ema_guard,"dist_pct=-0.0331, slope=-0.0014, neutral_band=0.0043"
2025-09-28T06:11:00+00:00,ETHUSDT,vol_fail,"bbw=0.0047, mult=1.05"
2025-09-28T06:11:01+00:00,SOLUSDT,main_ema_guard,"dist_pct=-0.0542, slope=-0.0022, neutral_band=0.0058"
2025-09-28T06:11:01+00:00,SOLUSDT,vol_fail,"bbw=0.0049, mult=1.05"
2025-09-28T06:11:01+00:00,BNBUSDT,main_ema_guard,"dist_pct=-0.0081, slope=-0.0003, neutral_band=0.0043"
2025-09-28T06:11:02+00:00,BNBUSDT,vol_fail,"bbw=0.0091, mult=1.05"
2025-09-28T06:11:07+00:00,ETHUSDT,main_ema_guard,"dist_pct=-0.0332, slope=-0.0014, neutral_band=0.0043"
2025-09-28T06:11:08+00:00,ETHUSDT,vol_fail,"bbw=0.0047, mult=1.05"
2025-09-28T06:11:08+00:00,SOLUSDT,main_ema_guard,"dist_pct=-0.0541, slope=-0.0022, neutral_band=0.0058"
2025-09-28T06:11:08+00:00,SOLUSDT,vol_fail,"bbw=0.0049, mult=1.05"
2025-09-28T06:11:09+00:00,BNBUSDT,main_ema_guard,"dist_pct=-0.0081, slope=-0.0003, neutral_band=0.0043"
2025-09-28T06:11:09+00:00,BNBUSDT,vol_fail,"bbw=0.0091, mult=1.05"
2025-09-28T06:11:14+00:00,ETHUSDT,main_ema_guard,"dist_pct=-0.0332, slope=-0.0014, neutral_band=0.0043"
2025-09-28T06:11:15+00:00,ETHUSDT,vol_fail,"bbw=0.0047, mult=1.05"
2025-09-28T06:11:15+00:00,SOLUSDT,main_ema_guard,"dist_pct=-0.0543, slope=-0.0022, neutral_band=0.0058"
2025-09-28T06:11:15+00:00,SOLUSDT,vol_fail,"bbw=0.0049, mult=1.05"
2025-09-28T06:11:16+00:00,BNBUSDT,main_ema_guard,"dist_pct=-0.0081, slope=-0.0003, neutral_band=0.0043"
2025-09-28T06:11:16+00:00,BNBUSDT,vol_fail,"bbw=0.0091, mult=1.05"
2025-09-28T06:11:22+00:00,ETHUSDT,main_ema_guard,"dist_pct=-0.0332, slope=-0.0014, neutral_band=0.0043"
2025-09-28T06:11:22+00:00,ETHUSDT,vol_fail,"bbw=0.0047, mult=1.05"
2025-09-28T06:11:23+00:00,SOLUSDT,main_ema_guard,"dist_pct=-0.0544, slope=-0.0022, neutral_band=0.0058"
2025-09-28T06:11:23+00:00,SOLUSDT,vol_fail,"bbw=0.0049, mult=1.05"
2025-09-28T06:11:24+00:00,BNBUSDT,main_ema_guard,"dist_pct=-0.0082, slope=-0.0003, neutral_band=0.0043"
2025-09-28T06:11:24+00:00,BNBUSDT,vol_fail,"bbw=0.0091, mult=1.05"
2025-09-28T06:11:29+00:00,ETHUSDT,main_ema_guard,"dist_pct=-0.0332, slope=-0.0014, neutral_band=0.0043"
2025-09-28T06:11:30+00:00,ETHUSDT,vol_fail,"bbw=0.0047, mult=1.05"
2025-09-28T06:11:30+00:00,SOLUSDT,main_ema_guard,"dist_pct=-0.0543, slope=-0.0022, neutral_band=0.0058"
2025-09-28T06:11:31+00:00,SOLUSDT,vol_fail,"bbw=0.0049, mult=1.05"
2025-09-28T06:11:31+00:00,BNBUSDT,main_ema_guard,"dist_pct=-0.0082, slope=-0.0003, neutral_band=0.0043"
2025-09-28T06:11:31+00:00,BNBUSDT,vol_fail,"bbw=0.0091, mult=1.05"
2025-09-28T06:11:37+00:00,ETHUSDT,main_ema_guard,"dist_pct=-0.0332, slope=-0.0014, neutral_band=0.0043"
2025-09-28T06:11:37+00:00,ETHUSDT,vol_fail,"bbw=0.0047, mult=1.05"
2025-09-28T06:11:37+00:00,SOLUSDT,main_ema_guard,"dist_pct=-0.0543, slope=-0.0022, neutral_band=0.0058"
2025-09-28T06:11:38+00:00,SOLUSDT,vol_fail,"bbw=0.0049, mult=1.05"
2025-09-28T06:11:38+00:00,BNBUSDT,main_ema_guard,"dist_pct=-0.0082, slope=-0.0003, neutral_band=0.0043"
2025-09-28T06:11:39+00:00,BNBUSDT,vol_fail,"bbw=0.0091, mult=1.05"
2025-09-28T06:11:44+00:00,ETHUSDT,main_ema_guard,"dist_pct=-0.0332, slope=-0.0014, neutral_band=0.0043"
2025-09-28T06:11:44+00:00,ETHUSDT,vol_fail,"bbw=0.0047, mult=1.05"
2025-09-28T06:11:45+00:00,SOLUSDT,main_ema_guard,"dist_pct=-0.0542, slope=-0.0022, neutral_band=0.0058"
